,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address,o_point_x,o_point_y,judge_way
0,118.0,杭州市余杭区英特外国语学校,杭州市余杭区上和路1号,119.9691041,30.24389338,杭州市,余杭区,余杭街道,完全中学,330110.0,中等教育,,01010000208A11000048811ECD05FE5D401084E6CB6F3E3E40,119.96971,30.24503,杭州市余杭区上和路1杭州英特外国语学校,119.9691041,30.24389338,tdt
1,749.0,浙江省杭州第七中学,浙江省杭州市西湖区转塘环山路1号,120.0519114,30.15144314,杭州市,西湖区,转塘街道,高级中学,330106.0,中等教育,,01010000208A110000F0473F8452035E40600730FAC4263E40,120.053046,30.150409,杭州市西湖区转塘环山路1号浙江省杭州第七中学,120.0519114,30.15144314,tdt
2,776.0,宁波市海曙区古林镇薛家小学,浙江省宁波市海曙区古林镇薛家村1号,121.4966271,29.85732021,宁波市,海曙区,古林镇,小学,330203.0,初等教育,,01010000208A110000F835EBBCC85F5E4060BD605679DB3D40,121.497784,29.859272,宁波市海曙区古林镇薛家小学,121.4966271,29.85732021,tdt
3,858.0,宁波市海曙区石碶街道实验小学,浙江省宁波市海曙区石碶街道横涨村广泽南路2999号,121.4442275,29.79432463,宁波市,海曙区,石碶街道,小学,330203.0,初等教育,,01010000208A110000E05F40396E5C5E40505FD7DB58CB3D40,121.44373,29.79434,宁波市海曙区石碶街道实验小学,121.4442275,29.79432463,tdt
4,1194.0,杭州市余杭区径山镇双溪幼儿园,杭州市余杭区径山镇双溪村水磨苑107号,119.8207394,30.40938898,杭州市,余杭区,径山镇,幼儿园,330110.0,学前教育,,01010000208A11000048B69FFE86F45D40600861B7CD683E40,119.82,30.4099,杭州市余杭区径山镇双溪幼儿园,119.8207394,30.40938898,tdt
5,1203.0,义乌市金城高尔夫幼儿园,义乌市金城高尔夫2期20栋,120.0646221,29.35996556,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A110000D8CB93C422045E40705C09B4265C3D40,120.06365,29.3597300000001,金华市义乌市金城高尔夫二期20栋金城高尔夫幼儿园,120.0646221,29.35996556,tdt
6,1240.0,杭州市余杭区育海外国语学校,杭州市天目山西路255号,119.9919752,30.23249034,杭州市,余杭区,闲林街道,九年一贯制学校,330110.0,中等教育,,01010000208A110000705B7A857CFF5D40100D9A7C843B3E40,119.9914,30.23221,杭州市余杭区杭州育海外国语学校,119.9919752,30.23249034,tdt
7,1249.0,义乌市后宅街道鹤田幼儿园,义乌市后宅街道鹤田一区43号、45号,120.0604108,29.41129031,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A11000070D371C5DD035E40906E4D524A693D40,120.06032,29.41288,金华市义乌市后宅街道鹤田村二区后宅街道鹤田幼儿园,120.0604108,29.41129031,tdt
8,1280.0,义乌公学,义乌市求真路388号,120.0000704,29.30621768,金华市,义乌市,城西街道,十二年一贯制学校,330782.0,中等教育,,01010000208A110000208A3A2701005E40102C1C48644E3D40,120.00032,29.305101,金华市义乌市义乌公学,120.0000704,29.30621768,tdt
9,1502.0,杭州市余杭区北湖绿洲幼儿园,杭州市余杭区瓶窑镇北湖绿洲小区23-1号,119.9748339,30.3810721,杭州市,余杭区,瓶窑镇,幼儿园,330110.0,学前教育,,01010000208A1100003066C1AD63FE5D4000BDDDF08D613E40,119.97389,30.38102,杭州市余杭区北湖绿洲幼儿园,119.9748339,30.3810721,tdt
10,1793.0,杭州市余杭区蒲公英学校,杭州市余杭区瓶窑镇长命村,120.000497,30.385359,杭州市,余杭区,瓶窑镇,十二年一贯制学校,330110.0,中等教育,,01010000208A110000C0AF912408005E4020382EE3A6623E40,119.999317,30.385051,杭州市余杭区长命村杭州蒲公英学校,120.000497,30.385359,tdt
11,2162.0,宁波市海曙区镇明中心小学,宁波市海曙区云石街52号，宁波市海曙区云霞路226号,121.525747,29.857685,宁波市,海曙区,段塘街道,小学,330203.0,初等教育,,01010000208A11000018BEBED6A5615E401045813E91DB3D40,121.54199,29.86788,宁波市海曙区云石街52宁波市镇明中心小学,121.525747,29.857685,tdt
12,2304.0,浙江新世纪经贸专修学院,杭州市余杭区天目山西路355号,119.9683002,30.24055365,杭州市,余杭区,闲林街道,民办的其他高等教育机构,330110.0,其他教育,,01010000208A110000B02A30A1F8FD5D4000DD9CEC943D3E40,120.196148446,30.2071889700001,杭州市滨江区浙江新世纪经贸专修学院,119.9683002,30.24055365,tdt
13,2360.0,杭州市余杭区未来科技城海云幼儿园,杭州市余杭区仓前街道创景路9号,119.9926887,30.2867093,杭州市,余杭区,仓前街道,幼儿园,330110.0,学前教育,,01010000208A110000605C3D3688FF5D40908CE3C765493E40,120.02735,30.29438,杭州市余杭区未来科技城海曙幼儿园,119.9926887,30.2867093,tdt
14,2435.0,杭州市余杭区未来科技城海曙小学,杭州市余杭区五常街道联创街2-2,120.0263865,30.2943386,杭州市,余杭区,五常街道,小学,330110.0,初等教育,,01010000208A11000028B41E51B0015E40508A4DC6594B3E40,120.02669,30.29358,杭州市余杭区未来科技城海曙小学,120.0263865,30.2943386,tdt
15,2825.0,杭州市余杭区凤凰幼儿园,杭州市余杭区余杭街道城东路6号,119.9500036,30.25458558,杭州市,余杭区,余杭街道,幼儿园,330110.0,学前教育,,01010000208A11000020C70ADCCCFC5D4020B94C852C413E40,119.94916,30.25508,杭州市余杭区城东路7正东方向180米余杭区凤凰幼儿园,119.9500036,30.25458558,tdt
16,2976.0,宁波市海曙区古林镇中心小学,浙江省宁波市海曙区古林镇古林村1号,121.4380761,29.82871399,宁波市,海曙区,古林镇,小学,330203.0,初等教育,,01010000208A11000010BD5770095C5E4020E78F9926D43D40,121.437399,29.830067,宁波市海曙区育新路5号古林镇中心小学,121.4380761,29.82871399,tdt
