,X,Y,Class
0,1978,4097.0,True
1,1979,3680.0,True
2,1980,3391.0,True
3,1981,3243.0,True
4,1982,3115.0,True
5,1983,3161.0,True
6,1984,3199.0,True
7,1985,3235.0,True
8,1986,3296.0,True
9,1987,3346.0,True
10,1988,3389.0,True
11,1989,3384.0,True
12,1990,3353.0,True
13,1991,3381.0,True
14,1992,3283.0,True
15,1993,3259.0,True
16,1994,3315.0,True
17,1995,3255.0,True
18,1996,3240.0,True
19,1997,3186.0,True
20,1998,3128.0,True
21,1999,2995.0,True
22,2000,2940.0,True
23,2001,2900.0,True
24,2002,2781.0,True
25,2003,2695.0,True
26,2004,2609.0,True
27,2005,2524.0,True
28,2006,2459.0,True
29,2007,2404.0,True
30,2008,2377.0,True
31,2009,2353.0,True
32,2010,2314.0,True
33,2011,2314.0,True
34,2012,2306.0,True
35,2013,2296.0,True
36,2014,2280.0,True
37,2015,2275.0,True
38,2016,2291.0,True
39,2017,2315.0,True
40,2018,2333.0,True
41,2019,2345.0,True
42,2020,2370.0,True
43,1978,3912.450474040293,Pred
44,1979,3912.450474040293,Pred
45,1980,3378.0157993045386,Pred
46,1981,3276.5489273209223,Pred
47,1982,3126.3826235340657,Pred
48,1983,3126.3826235340657,Pred
49,1984,3238.5099727453025,Pred
50,1985,3238.5099727453025,Pred
51,1986,3238.5099727453025,Pred
52,1987,3374.970621045897,Pred
53,1988,3374.970621045897,Pred
54,1989,3374.970621045897,Pred
55,1990,3332.152753408876,Pred
56,1991,3332.152753408876,Pred
57,1992,3332.152753408876,Pred
58,1993,3281.8535725366996,Pred
59,1994,3281.8535725366996,Pred
60,1995,3281.8535725366996,Pred
61,1996,3181.039350247036,Pred
62,1997,3181.039350247036,Pred
63,1998,3181.039350247036,Pred
64,1999,2942.3555565984875,Pred
65,2000,2942.3555565984875,Pred
66,2001,2942.3555565984875,Pred
67,2002,2687.50908888173,Pred
68,2003,2687.50908888173,Pred
69,2004,2687.50908888173,Pred
70,2005,2468.2883703246584,Pred
71,2006,2468.2883703246584,Pred
72,2007,2468.2883703246584,Pred
73,2008,2353.87781895936,Pred
74,2009,2353.87781895936,Pred
75,2010,2353.87781895936,Pred
76,2011,2305.7372841110096,Pred
77,2012,2305.7372841110096,Pred
78,2013,2305.7372841110096,Pred
79,2014,2281.146877620311,Pred
80,2015,2281.146877620311,Pred
81,2016,2281.146877620311,Pred
82,2017,2329.9184049092887,Pred
83,2018,2329.9184049092887,Pred
84,2019,2329.9184049092887,Pred
85,2020,2367.646158870338,Pred
86,2021,2367.646158870338,Pred
87,2022,2367.646158870338,Pred
88,2023,2367.646158870338,Pred
89,2024,2367.646158870338,Pred
90,2025,2367.646158870338,Pred
91,2026,2367.646158870338,Pred
